MUSTERI_ARIZA	ALTYAPI	SANTRAL_MESAFESI	ATTENUATION_DOWN	NOISE_MARGIN_UP	HIZMET_KALITESI
0	1	1174	25	12	0,913
0	2	147	3	38	1
0	2	241	7	14	0,862
0	1	804	18	14	0,496
0	1	428	15	20	1
0	2	209	5	18	1
0	2	222	7	8	1
0	2	70	7	24	1
0	3	6	23	12	0,705
0	2	136	5	34	1
0	2	70	13	16	0,681
0	1	754	25	13	0,333
0	1	687	18	7	0,333
0	1	1274	35	19	0,881
0	2	239	5	15	0,722
0	1	993	21	12	0,852
0	1	1018	22	20	1
0	1	959	17	19	0,5
0	1	875	20	16	1
0	2	1140	25	23	0,667
0	2	122	8	21	1
0	1	859	18	6	0,75
0	1	858	14	20	0,972
0	1	1132	17	16	0,403
0	3	7	2	33	1
0	1	1047	22	20	1
0	1	1173	19	19	0,625
0	1	780	23	14	0,334
0	1	461	18	15	1
0	1	1186	29	8	0,722
0	2	332	5	18	1
1	2	66	13	10	1
0	1	973	16	19	0,875
0	2	118	6	29	1
0	2	259	8	14	0,891
0	1	662	14	13	0,874
0	1	845	21	20	1
0	1	870	20	14	0,854
0	2	515	13	16	1
0	1	620	12	8	1
0	1	1289	20	11	0,49
0	2	160	12	28	1
0	2	141	7	9	0,658
0	1	904	27	14	1
0	1	446	9	11	0,762
0	2	179	8	31	1
0	3	3	1	32	1
0	2	521	19	8	1
0	2	147	9	11	1
0	3	30	12	22	1
0	1	605	14	9	0,925
0	2	236	13	23	1
0	1	787	17	16	0,572
0	2	1013	19	13	1
0	2	794	19	9	0,616
1	2	405	23	8	0,76
0	2	87	4	28	1
0	1	649	23	10	0,98
0	1	981	25	8	0,661
0	1	556	11	10	0,75
0	1	1107	23	10	0,74
0	1	510	19	9	0,838
0	2	189	8	20	1
0	3	24	9	17	0,728
0	2	435	16	14	1
0	2	112	4	30	1
0	1	894	18	13	1
0	1	792	14	13	1
0	1	906	18	19	0,5
0	1	825	16	17	1
0	2	140	4	31	1
0	2	1071	18	23	0,81
0	1	844	22	11	0,828
0	2	358	13	16	1
0	1	784	15	14	1
0	2	394	11	12	0,718
0	1	903	16	14	1
0	2	39	30	7	0,5
0	1	867	19	14	1
1	2	600	15	21	1
0	2	340	20	10	0,205
0	1	340	13	12	0,957
0	1	943	16	8	0,015
0	2	39	20	13	1
0	2	145	11	21	0,999
0	2	490	13	23	0,998
0	1	1165	28	8	0,27
0	3	7	8	15	0,669
0	1	411	18	19	0,999
0	1	874	14	18	1
0	1	976	20	19	0,75
0	2	900	16	22	0,875
0	2	526	15	15	1
0	1	726	16	15	0,75
0	2	230	5	15	1
0	1	1164	20	12	1
0	2	217	5	8	1
